MaBenh,TenBenh,MoTa
1,Viêm ruột thừa,Viêm cấp tính ở ruột thừa
2,Sỏi mật,Hình thành sỏi trong túi mật
3,Gãy xương đùi,Chấn thương gây gãy xương đùi
4,Trĩ nội – ngoại,Giãn tĩnh mạch vùng hậu môn
5,U tuyến giáp,Khối u ở tuyến giáp
6,Viêm tụy cấp,Tình trạng viêm tụy đột ngột
7,Chấn thương sọ não,Tổn thương não do va đập
8,Thoát vị bẹn,Tạng chui ra ngoài ổ bụng qua ống bẹn
9,Ngưng thở khi ngủ do tắc nghẽn,Tắc nghẽn đường thở khi ngủ
10,Dị vật đường thở,Vật lạ mắc kẹt trong khí quản hoặc phế quản
11,Viêm tai giữa mạn,Tổn thương tai giữa kéo dài
12,Polyp mũi,Khối u lành tính trong mũi
13,Viêm xoang mạn,Viêm kéo dài niêm mạc xoang
14,Viêm họng cấp,Viêm niêm mạc họng cấp tính
15,Viêm thanh quản,Viêm thanh quản gây khàn tiếng
16,Viêm amidan mạn,Viêm amidan kéo dài tái phát
17,Đau mắt đỏ,"Mắt đỏ, đau nhức"
